net_connections
"(snetio(bytes_sent=2598446, bytes_recv=10234659, packets_sent=6468, packets_recv=16221, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3182950, bytes_recv=89856244, packets_sent=12251, packets_recv=61456, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3427516, bytes_recv=118421872, packets_sent=14348, packets_recv=84361, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3512903, bytes_recv=119356124, packets_sent=14524, packets_recv=87568, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3563330, bytes_recv=120273691, packets_sent=14700, packets_recv=90835, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3621576, bytes_recv=121159807, packets_sent=14923, packets_recv=94015, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3670785, bytes_recv=121274432, packets_sent=15086, packets_recv=94587, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3743639, bytes_recv=121593555, packets_sent=15321, packets_recv=95419, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3802388, bytes_recv=121726516, packets_sent=15548, packets_recv=95900, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3849738, bytes_recv=121813507, packets_sent=15706, packets_recv=96235, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=3890637, bytes_recv=121887904, packets_sent=15810, packets_recv=96646, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4021029, bytes_recv=122222675, packets_sent=16304, packets_recv=97452, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4070194, bytes_recv=122323414, packets_sent=16473, packets_recv=97815, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4141759, bytes_recv=122641417, packets_sent=16734, packets_recv=98539, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4200233, bytes_recv=122787505, packets_sent=16956, packets_recv=99031, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4255925, bytes_recv=122921899, packets_sent=17141, packets_recv=99637, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4300266, bytes_recv=123044641, packets_sent=17276, packets_recv=100176, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4366810, bytes_recv=123216486, packets_sent=17554, packets_recv=100761, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4449888, bytes_recv=123476393, packets_sent=17955, packets_recv=101562, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4518010, bytes_recv=123770985, packets_sent=18190, packets_recv=102285, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4573999, bytes_recv=123910634, packets_sent=18400, packets_recv=102932, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4625369, bytes_recv=124056806, packets_sent=18577, packets_recv=103844, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=4669978, bytes_recv=124159501, packets_sent=18678, packets_recv=104322, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=5428193, bytes_recv=126000289, packets_sent=21595, packets_recv=106616, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=5628934, bytes_recv=126278847, packets_sent=21916, packets_recv=107118, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=5715720, bytes_recv=126543791, packets_sent=22183, packets_recv=107707, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=5780332, bytes_recv=126659855, packets_sent=22443, packets_recv=108392, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=5847224, bytes_recv=126754981, packets_sent=22672, packets_recv=108733, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=5894338, bytes_recv=126803056, packets_sent=22800, packets_recv=109045, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=5954334, bytes_recv=126909423, packets_sent=23031, packets_recv=109482, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=6008272, bytes_recv=126981625, packets_sent=23212, packets_recv=109930, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=6080300, bytes_recv=127242082, packets_sent=23471, packets_recv=110588, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=6140355, bytes_recv=127342518, packets_sent=23700, packets_recv=111050, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=6187552, bytes_recv=127406908, packets_sent=23855, packets_recv=111405, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=6243352, bytes_recv=127579899, packets_sent=24035, packets_recv=112068, errin=0, errout=0, dropin=0, dropout=0), [])"
"(snetio(bytes_sent=6323224, bytes_recv=127745622, packets_sent=24361, packets_recv=112701, errin=0, errout=0, dropin=0, dropout=0), [])"
