total_space_gb,used_space_gb,free_space_gb,disk_stats,disk_partitions
222.3660545349121,103.96136474609375,118.40468978881836,"{'PhysicalDrive0': sdiskio(read_count=100804, write_count=19669, read_bytes=3421849600, write_bytes=1074323968, read_time=977, write_time=29)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97867584228516,118.38737869262695,"{'PhysicalDrive0': sdiskio(read_count=109463, write_count=51931, read_bytes=3665420800, write_bytes=2861305856, read_time=984, write_time=51)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97872543334961,118.3873291015625,"{'PhysicalDrive0': sdiskio(read_count=109842, write_count=56007, read_bytes=3671339520, write_bytes=2977352192, read_time=985, write_time=55)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97850799560547,118.38754653930664,"{'PhysicalDrive0': sdiskio(read_count=109861, write_count=56761, read_bytes=3671799808, write_bytes=2993162752, read_time=985, write_time=55)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97860717773438,118.38744735717773,"{'PhysicalDrive0': sdiskio(read_count=109891, write_count=57155, read_bytes=3672250880, write_bytes=3006233088, read_time=985, write_time=55)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97903060913086,118.38702392578125,"{'PhysicalDrive0': sdiskio(read_count=110203, write_count=60072, read_bytes=3680047104, write_bytes=3030812160, read_time=986, write_time=56)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.9791488647461,118.38690567016602,"{'PhysicalDrive0': sdiskio(read_count=110203, write_count=60468, read_bytes=3680047104, write_bytes=3041169408, read_time=986, write_time=57)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97993087768555,118.38612365722656,"{'PhysicalDrive0': sdiskio(read_count=110209, write_count=60868, read_bytes=3680137216, write_bytes=3052513792, read_time=986, write_time=57)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.9781265258789,118.3879280090332,"{'PhysicalDrive0': sdiskio(read_count=110777, write_count=61958, read_bytes=3822094336, write_bytes=3068069888, read_time=987, write_time=58)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97818756103516,118.38786697387695,"{'PhysicalDrive0': sdiskio(read_count=110780, write_count=62306, read_bytes=3822139904, write_bytes=3076188672, read_time=987, write_time=58)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.97818756103516,118.38786697387695,"{'PhysicalDrive0': sdiskio(read_count=110780, write_count=62518, read_bytes=3822139904, write_bytes=3083827712, read_time=987, write_time=58)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
222.3660545349121,103.96625518798828,118.39979934692383,"{'PhysicalDrive0': sdiskio(read_count=117965, write_count=70090, read_bytes=3940050432, write_bytes=3169545728, read_time=990, write_time=60)}","[sdiskpart(device='C:\\', mountpoint='C:\\', fstype='NTFS', opts='rw,fixed', maxfile=255, maxpath=260), sdiskpart(device='E:\\', mountpoint='E:\\', fstype='', opts='cdrom', maxfile=255, maxpath=260)]"
